Teks,label
Kenaikan bpjs rencana januari 2020 memberatkan saya. anggota kk saya ada 5 plus satu anak yatim piatu yang harus dibayar setiap bulan. bisakah saya mengundurkan diri dari kepesertaan bpjs kesehatan?,2
pemerintah akan menaikkan iuran bpjs kesehatan tahun depan. sebagai peserta bpjs kesehatan mandiri kelas ii karena kenaikan iuran saya berencana menurunkannya ke kelas iii tapi saya tidak mau juga menjadi peserta pbi karena akan menambah beban pemerintah daerah. saya mohon agar peserta bpjs kesehatan pbi benar-benar di data dengan sungguh-sungguh jangan sampai yang mampu juga mendapatkan pbi. mohon didengarkan terimakasih,2
pak mohon agar penerima bantuan iuran bpjs kesehatan tidak diberikan kepada masyarakat yang merokok. iuran bpjs kesehatan naik tahun depan oleh karenanya pbi harus diberikan kepada masyarakat yang benar-benar miskin dan membutuhkan dan jangan diberikan kepada perokok. masak beli rokok tapi tidak bisa bayar iuran .,2
saya pengguna bpjs kesehatan tingkat 3 dan jumlah anggota 8 orang dan saya membayar tagihan bpjs bulan oktober 2019 kemarin 408.000 jadi 51.000/orang padahal biasanya 25.500/orang,2
dengan telah keluarnya perpres no. 75 tahun 2019 mengenai besaran iurang bpjs kesehatan yang berlaku mulai tahun 2020. apakah kebijakan untuk tidak bisa turun kelas tetap berlaku? karena saya merasa keberatan dengan besarnya iuran yang baru untuk kelas 1 sehingga saya ingin menurunkan kelas layanan saya. jika bisa tolong dibantu bagaimana caranya?,2
Saya karyawan disebuah retail didaerah depok. saya sudah bekerja sejak 23 mei 2018. saya ingin bertanya saya dan karyawan lainnya sampai sekarang belum ada yang mendapatkan kartu bpjs sehingga tidak bisa menggunakan fasilitas bpjs kesehatan dari perusahaan walaupun tiap bulan gaji dipotong. ditambah lagi kita sudah ingatkan atasan kita tapi tidak ada respon yang baik dari atasan,2
saya peserta bpjs kesehatan ppu dan saya mau menggunakan fasilitas kesehatan pembersihan karang gigi di faskes dr gigi drg. dwi mardiani akan tetapi ditolak. mohon konfirmasinya,2
Kepesertaan bpjs ditangguhkan dan tidak aktif. suami saya dari peserta bpjs kesehatan asn sdh lebih dari 17 tahun belum lama ada aturan bahwa pekerja badan usaha wajib diikutkan oleh bu sebagai peserta. saya didaftarkan per 1 okt 2019. begitu didaftarkan status kepesertaan saya tidak aktif dengan alasan perusahaan/ bu belum membayar iuran (notabene saya juga suami dari peserta asn yang tetap membayar krn dipotong gaji) keluhan saya adalah jeda waktu yg menurut saya sangat merugikan peserta. karena selama jeda waktu tersebut tidak dicover oleh bpjs kesehatan padahal iurannya rutin,2
Kartu bpjs saya ditangguhkan. sebelumnya saya pakai bpjs yg gratis dan hari senin kemarin 30-9-2019 masih bisa dipergunakan tetapi pada hari rabunya tgl 2-10-2019 sudah bermutasi menjadi berbayar dan statusnya ditangguhkan. saya tanya pada perusahaan tempat saya bekerja mereka beragumen bahwa ada pemindahan paksa dari pihak bpjs kesehatan sementara saya lapor kepihak bpjs mereka beragumen pihak perusahaan yg mengajukan. yg jadi masalah bukan bayar atau gratis tetapi penangguhannya ini,2
Pendaftaran online bpjs kesehatan down sampai kapan?mohon untuk segera dipulihkan.terimakasih,2
saya ingin menginformasikan sekaligus memberikan kritik dan saran kepada pemprov dki khususnya dari suku dinas kesehatan jakarta barat. saya beberapa waktu yang lalu meminta dibuatkan surat rujukan kepada petugas puskesmas kamal kalideres jakarta barat. namun saya kecewa dengan pelayan dan sikap dari petugas loket tersebut yang bernama yuli syahputra. dia terlihat kasar bahkan mempermalukan dan bersikap kurang baik terhadap beberapa keluarga dari pasien yg membutuhkan layanan dan informasi,3
Saya ingin memberikan masukan untuk Suku Dinas Kesehatan Jakarta Pusat. saya beberapa kali datang kesana tetapi tidak ada orang yang melayani dalam kantor yang cukup luas itu hanya ada 1 pegawai dan OB,3
Kepada Yth. Pemerintah Provinsi DKI Jakarta. Yth. Dinas kesehatan Jakarta Timur. Saya mau menanyakan. Alamat untuk menonaktifkan kartu KJS di mana ? Saya berdomisili di Jakarta Timur . Dan surat2 yg harus di bawa apa saja. Terima kasih,3
Hari ini saya datang ke kantor walikota untuk pendaftaran PIRT tetapi tidak dapat dilayani dikarenakan bukan KTP Depok. Saya memang berKTP Jakarta tetapi untuk produksi dan usaha sudah lebih 2 tahun ini berlokasi di Depok dan sudah memiliki SKU. Saya mencoba untuk mengurus di Dinas Kesehatan Jakarta juga ditolak karena produksinya ada di Depok,3
Saya baru saja mengantar anak keluarga kurang mampu. dia mengalami infeksi mata. hari sebelumnya sudah dibawa ke puskesmas akan tetapi puskesmas tidak memiliki layanan instalasi pengobatan mata dan disarankan ke rumah sakit. Karena di rumah sakit terdapat jadwal praktek mata. maka hari ini saya bawa ke dokter spesialis mata. dan hasilnya harus di operasi di RSCM dengan rujukan dokter. Mohon bantuannya Pihak Dinas Kesehatan Jakarta. apakah KJS bisa digunakan untuk operasi mata di RSCM?,3
Tadi sore sekira pukul 16.45 saya dan isteri saya ke Puskesmas Ragunan dengan tujuan untuk meminta surat rujukan sebagai persyaratan untuk berobat ke Rumah Sakit dengan menggunakan kartu ASKES. Namun dengan wajah sinis kami ditanggapi dingin dan harus datang kembali besok sebelum pukul 15.00 dengan alasan pada saat kami tiba pelayanan sudah tutup. Saya minta tanggapan dari dinas kesehatan jakarta dan pt askes mengenai hal ini. Mohon kalo ngasih pelayanan jangan galak dong,3
Kecelakaan yang melibatkan mobil milik Dinas Kesehatan. yang menabrak mobil masyarakat sampai saat ini belum ada pertanggungjawaban dari pihak Dinas Kesehatan,3
Kepada kepala dinas kesehatan terkait mungkin karena ketidakpahaman saya. saya ingin cek laboratorium di puskesmas cirimekar tapi domisili saya di pabuaran mekar dimana di puskesmas tersebut laboratorium tidak selengkap di laboratorium puskesmas cirimekar mereka hampir menolak saya. saya diminta untuk cek hiv dll untuk kehamilan saya,3
kepala dinas kesehatan kota jakarta pak jika ada warga yang terkena rabies kemanakah harus meminta vaksin rabies?,3
mohon informasi kapan stok vaksin ipv tersedia? anak saya sudah  waktunya imunisasi ipv. hari kamis tanggal 24 oktober 2019 saya ke puskesmas kebomas disana kata petugas kia stok vaksin ipv kosong.,3
kepala dinas kesehatan kota jakarta. pak mohon izin bertanya untuk tahun depan apakah ada program operasi katarak gratis bagi masyarakat miskin?,3
pak saat ini sedang terjadi wabah penyakit ternak b2 di beberapa kecamatan di deli serdang banyak masyarakat yang memelihara ternak b2. mohon agar dilakukan antisipasi agar penyakit ternak b2 tersebut tidak menular ke manusia.,3
mohon di perhatikan dan di pantau kembali staf-staf yang berada di puskesmas. saya sudah daftar antri melalui online. dan ternyata sampai di puskesmas ini saya harus antri berjam-jam!. karena nomor antrian di puskemas ini tidak berlaku dan tidak dijalankan berdasarkan nomor antrian. maka itu saya dan pasien-pasien lain harus antri dalam puskesmas ini.,3
saya ada pengalaman buruk atas kematian keluarga di rs horas insani. saat itu paman saya kena serangan naik tensi dan pecah pembuluh darah. pasien hanya menunggu dokter jaga dan tanpa penanganan gawat darurat hingga akhirnya paman saya meninggal,3
mohon informasinya apa saja syarat yang harus dipenuhi pasien penderita tb paru untuk berobat ke puskemas dan rsud ? apakah harus memiliki ktp? mohon informasinya. karena masyarakat banyak yang belum memahami prosedur berobat bagi pasien tb paru.,3
mohon agar penyaluran obat-obatan dan vaksin bagi masyarakat di puskesmas dilakukan dengan tepat sasaran. karena ada yang menyampaikan. ada petugas puskesmas nakal yang membawa pulang obat-obatan dan vaksin ke rumahnya.,3
masih banyak di kota jakarta anak-anak yang tumbuh stunting karena kurang asupan gizi. di puskesmas ada pembagian pmt mp asi. tapi dengar kabar petugas puskemas nakal yang membawa pulang pmt mp asi ke rumahnya,3
pak bagi penderita tb paru apakah untuk berobat ke puskemas dan rsud harus memakai ktp? mohon informasinya karena masyarakat banyak yang belum memahami prosedur berobat bagi pasien tb paru.,3
mohon penyaluran obat-obatan di puskesmas diawasi dengan baik. kami mendapatkan pengaduan dari masyarakat petugas puskesmas sering membawa pulang obat-obatan dan vaksin. mohon ditindak tegas!,3
izin bertanya jadwal pelayanan untuk pasien tb di puskesmas pada hari apa saja. dan jam berapakah pelayanan tersebut buka ataupun tutup?,3
izin pak mohon informasinya di rumah sakit atau puskesmas mana saja yang bisa melayani tes hiv/aids disini ?,3
Kepada yth. dinas kesehatan kota jakarta. izin bertanya jadwal pelayanan untuk pasien tb di puskesmas pada hari apa saja. dan jam berapakah pelayanan tersebut buka ataupun tutup? mohon penjelasannya.,3
pak mohon agar penyuluhaan hiv/aids ke masyarakat semakin sering dilakukan agar dapat mencegah penularan hiv/aids di kota jakarta.,3
pak saya mohon agar dinas kesehatan lebih banyak lagi melakukan penyuluhaan tentang hiv/aids ke tiap kecamatan dan desa karena semakin banyak jumlah penderita hiv/aids bahkan banyak dari mereka adalah ibu rumah tangga yang tertular dari suaminya akhirnya juga menularkan anak-anaknya.,3
pak saya mohon agar dinas kesehatan melakukan penyuluhan dan pemeriksaan iva di tiap posyandu untuk mencegah semakin banyaknya ibu-ibu terkena kanker servik.,3
mohon informasinya pak bagaimana kami masyarakat mengetahui besaran anggaran untuk penanggulangan hiv aids dan tb-tb mdr di dinas kesehatan kota Jakarta. dan apakah ada dana sosialisasi kepada masyarakat?,3
mohon informasinya pak bagaimana prosedurnya apabila masyarakat mencurigai/menduga seseorang mengidap tbc berdasarkan ciri-ciri yang dipahami. kemana kami harus melapor. dan apakah laporan kami dilindungi?,3
kepala dinas kesehatan kota Jakarta. mohon infonya rumah sakit atau puskesmas yang melayani tes hiv/aids di Kota Jakarta?,3
saya ada ikut di kegiatan sosial di masyarakat. ada tanya ini dari masyarakat yang kami dampingi tentang: pencegahan dan penanggulangan tbc dan kaitannya dengan tb mdr yang infonya resisten terhadap obat tbc (isoniazid dan rifampisin) untuk orang yang terpapar hiv aids apakah ada dana seminar kepada masyarakat pak? dan kemana kami ajukan pak?,3
Kepada yth: kepala dinas kesehatan kota Jakarta. pak kadis di mana saja yang telah ada rawat inapnya? rakyat sangat membutuhkan karena rumah sakit jauh,3
