Teks,label
"ada pembangunan rumah tinggal yang belum memiliki izin mendirikan bangunan (IMB)",3
"air di rusun tambora setiap lebaran selalu dimatikan oleh petugas rusun. mohon ditindak petugasnya",3
"bangunan kumuh di bawah jaringan sutet di perumahan kosambi baru. jakarta barat agar ditertibkan",3
"hal penertiban diwilayah pasar ikan jalan pakin jakarta utara seyogyanya lakukanlah dengan visi-visinya terdahulu",3
"saya ingin melaporkan rumah di komplek bappenas no. c3 di jalan mampang prapatan jakarta selatan sedang dibangun sejak juni. aktivitasnya selalu gaduh dengan polusi suara berisik",3
"saya ingin melaporkan di jl. Rawasari jakarta pusat sedang dibangun kios-kios yang jelas melanggar garis sepadan bangunan",3
"diharapkan perhatian dan tindak lanjutnya atas adanya indikasi pembangunan menara BTS di kelurahan suka bumi selatan jakarta barat",3
"saya ingin melaporkan di belakang perumahan green garden jakarta barat banyak bangunan liar",3
"mohon selidiki bangunan yang menuju 4 lantai yang umumnya tidak boleh di dalam gang",3
"tolong ditertibkan jalan akses kiri dan kanan jalan menuju pelabuhan penyebrangan kali adem yang kumuh supaya rapi dan bersih",3
"mohon ditinjau dan ditindak lanjuti untuk bangunan tanpa IMB di jl. Ampera yang saat ini sedang di bangun",3
"saya ingin melaporkan pembangunan rumah milik orang kelurahan rawa buaya di jalan arjuna di sinyalir tanpa IMB",3
"diharapkan perhatian dan tindak lanjutnya atas adanya indikasi bangunan liar di kelurahan cengkareng barat yang berdiri di atas saluran air",3
"mohon ditertibkan bangunan liar di sepanjang jl. Pondok pinang 6 kec. Kebayoran lama jakarta selatan",3
"saya ingin lapor bahwa ada bangunan rumah di jalan mangga 1 tanjung duren melebihi jalur hijau yang seharusnya tidak boleh di bangun",3
"saya ingin melaporkan bangunan liar yang berdiri di atas saluran air di tepi jalan permata. mohon segera ditinjau dan ditindak lanjuti",3
"saya ingin melaporkan mengenai pembangunan ruko tanpa pengaman jaring yang meresahkan dan membahayakan warga",3
"saya ingin melaporkan mengenai menara saidah di cawang yang kini berbahaya karena pondasinya terlalu miring dan terdapat rumah penduduk di belakang gedung tersebut",3
"saya ingin melaporkan bahwa banyaknya bangunan ruko yang tidak sesuai dan layak fungsi di jalan kolonel sugiyono jakarta timur",3
"ada bangunan pabrik plastik yang perizinan maupun peruntukannya menyalahi aturan",3
"ada pembangunan hotel rakacia jl. Pemuda kel. Jati kec. Pilogadung jakarta timur tanpa izin IMB karena bangunan hotel tersebut di bangun di atas tanah jalur hijau",3
